gene.locus,maternal,zygotic,MZ
evm.TU.scaffold_1.10,FALSE,FALSE,neither
evm.TU.scaffold_1.100,FALSE,FALSE,neither
evm.TU.scaffold_1.1000,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1001,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1002,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1003,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1004,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1005,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1006,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1007,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1008,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1009,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1010,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1011,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1012,FALSE,FALSE,neither
evm.TU.scaffold_1.1013_evm.TU.scaffold_1.1014,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1015,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1016,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1017,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1018,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1019,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1020,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1021,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1022,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1023,FALSE,FALSE,neither
evm.TU.scaffold_1.1024,FALSE,FALSE,neither
evm.TU.scaffold_1.1025,FALSE,FALSE,neither
evm.TU.scaffold_1.1026,FALSE,FALSE,neither
evm.TU.scaffold_1.1027,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1028,FALSE,FALSE,neither
evm.TU.scaffold_1.1030,FALSE,FALSE,neither
evm.TU.scaffold_1.1031,FALSE,FALSE,neither
evm.TU.scaffold_1.1032,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1034,FALSE,FALSE,neither
evm.TU.scaffold_1.1035,FALSE,TRUE,zygotic
evm.TU.scaffold_1.1037,FALSE,FALSE,neither
evm.TU.scaffold_1.1038,FALSE,TRUE,zygotic
evm.TU.scaffold_1.1040,FALSE,FALSE,neither
evm.TU.scaffold_1.1041,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1042,FALSE,FALSE,neither
evm.TU.scaffold_1.1043_evm.TU.scaffold_1.1044,FALSE,FALSE,neither
evm.TU.scaffold_1.1045,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1046,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1047,FALSE,FALSE,neither
evm.TU.scaffold_1.1048,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.105,FALSE,FALSE,neither
evm.TU.scaffold_1.1050,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1051,FALSE,FALSE,neither
evm.TU.scaffold_1.1052,FALSE,FALSE,neither
evm.TU.scaffold_1.1053,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1054,TRUE,TRUE,maternal zygotic
evm.TU.scaffold_1.1055,TRUE,TRUE,maternal zygotic
