"wt.1.NC12.opaKD2.23003FL.06.01.18"	"ac.1.NC12.opaKD2.23003FL.06.01.19"	"dsred.1.NC12.opaKD2.23003FL.06.01.20"	"opa.1.NC12.opaKD2.23003FL.06.01.21"	"wt.2.NC12.opaKD5.23003FL.06.01.35"	"ac.2.NC12.opaKD5.23003FL.06.01.36"	"dsred.2.NC12.opaKD5.23003FL.06.01.37"	"dsred.3.NC12.opaKD5.23003FL.06.01.38"	"opa.3.NC12.opaKD5.23003FL.06.01.40"	"opa.5.NC12.opaKD5.23003FL.06.01.42"	"ac.3.NC12.opaKD6.23003FL.06.01.44"	"ac.4.NC12.opaKD6.23003FL.06.01.45"	"opa.6.NC12.opaKD6.23003FL.06.01.46"	"opa.7.NC12.opaKD6.23003FL.06.01.47"	"opa.8.NC12.opaKD6.23003FL.06.01.48"
"scaffold_1:39064-39403"	109	67	16	83	42	36	78	89	84	43	70	90	92	140	99
"scaffold_1:41080-41159"	11	6	4	7	2	3	13	12	9	6	3	2	9	22	13
"scaffold_1:46323-46446"	17	14	4	13	13	8	19	43	20	3	11	8	25	19	30
"scaffold_1:113573-113903"	227	118	44	107	123	103	238	340	239	163	247	240	304	400	239
"scaffold_1:114565-114639"	21	14	2	20	19	6	24	29	15	11	20	6	27	42	16
"scaffold_1:116022-116187"	134	77	20	79	40	53	122	120	140	74	126	89	161	176	126
"scaffold_1:126620-126698"	47	3	10	20	26	13	30	21	24	13	14	9	29	12	29
"scaffold_1:128078-128169"	67	21	12	59	51	28	48	43	51	29	47	33	31	30	52
"scaffold_1:128351-128439"	50	33	18	29	23	77	38	56	55	72	85	174	84	58	56
"scaffold_1:129947-130191"	42	33	7	36	23	18	30	56	45	19	44	32	73	55	58
"scaffold_1:139863-140049"	123	29	13	66	38	26	80	89	46	16	33	42	72	70	88
"scaffold_1:153939-154083"	44	17	2	23	5	4	34	32	22	7	8	10	46	20	37
"scaffold_1:155068-155278"	193	51	22	57	79	18	128	91	128	47	45	41	123	112	142
"scaffold_1:159923-160115"	132	68	17	86	38	19	84	85	83	44	82	57	129	145	114
"scaffold_1:167960-168177"	144	66	17	47	52	74	102	109	136	67	89	105	114	110	112
"scaffold_1:176987-177106"	60	15	7	32	19	23	40	52	35	49	47	50	62	73	40
"scaffold_1:186597-186832"	262	118	52	144	118	132	239	206	248	212	225	246	308	313	265
"scaffold_1:189165-189299"	98	32	15	80	95	18	59	58	58	34	45	48	70	50	87
"scaffold_1:189573-189709"	96	21	7	49	41	19	63	50	54	13	29	50	72	55	70
"scaffold_1:189867-189969"	86	26	5	44	33	27	50	37	54	20	34	49	71	57	59
"scaffold_1:190165-190460"	218	51	18	98	108	35	130	126	84	39	62	40	123	112	115
"scaffold_1:191006-191109"	67	20	9	34	58	12	29	65	34	16	23	16	50	53	46
