"wt.1.NC12.opaKD2.23003FL.09.02.01"	"ac.1.NC12.opaKD2.23003FL.09.02.02"	"dsred.1.NC12.opaKD2.23003FL.09.02.03"	"opa.1.NC12.opaKD2.23003FL.09.02.04"	"wt.2.NC12.opaKD5.23003FL.09.02.20"	"ac.2.NC12.opaKD5.23003FL.09.02.21"	"dsred.2.NC12.opaKD5.23003FL.09.02.22"	"dsred.3.NC12.opaKD5.23003FL.09.02.23"	"opa.3.NC12.opaKD5.23003FL.09.02.24"	"opa.5.NC12.opaKD5.23003FL.09.02.26"	"ac.3.NC12.opaKD6.23003FL.09.02.28"	"ac.4.NC12.opaKD6.23003FL.09.02.29"	"opa.6.NC12.opaKD6.23003FL.09.02.30"	"opa.7.NC12.opaKD6.23003FL.09.02.31"	"opa.8.NC12.opaKD6.23003FL.09.02.32"
"evm.TU.scaffold_1.10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.100"	0	0	0	0	0	0	1	0	0	5	2	0	0	10	0
"evm.TU.scaffold_1.1000"	1244	1707	1771	1669	2601	1101	1009	1342	2317	3161	2592	2499	2203	2126	1275
"evm.TU.scaffold_1.1001"	413	668	419	428	289	593	891	1536	654	767	336	276	601	764	724
"evm.TU.scaffold_1.1002"	266	232	226	330	295	192	253	192	362	241	356	184	254	363	242
"evm.TU.scaffold_1.1003"	5060	5194	6005	6812	12901	5158	5316	3722	4096	3811	3759	4641	5390	2741	2905
"evm.TU.scaffold_1.1004"	83	167	151	172	129	194	239	251	62	128	73	132	85	48	77
"evm.TU.scaffold_1.1005"	889	861	1016	1403	1255	561	713	885	1355	1296	913	1287	1043	944	825
"evm.TU.scaffold_1.1006"	311	312	340	364	352	270	319	329	524	590	283	274	311	308	377
"evm.TU.scaffold_1.1007"	264	1122	817	508	623	1001	1412	1550	251	707	308	632	488	297	349
"evm.TU.scaffold_1.1008"	141	525	557	358	1187	559	556	653	538	947	731	547	941	326	318
"evm.TU.scaffold_1.1009"	195	239	330	321	1443	254	225	264	315	259	663	421	549	320	233
"evm.TU.scaffold_1.1010"	35	32	76	67	89	24	39	59	138	191	53	86	72	92	19
"evm.TU.scaffold_1.1011"	115	81	100	134	35	85	73	66	70	93	45	23	58	45	73
"evm.TU.scaffold_1.1012"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1013_evm.TU.scaffold_1.1014"	5446	5513	6365	6295	5883	4869	5571	6215	6437	4899	3786	4252	4394	4443	4845
"evm.TU.scaffold_1.1015"	106	161	202	189	99	69	57	127	163	151	272	186	146	188	134
"evm.TU.scaffold_1.1016"	1431	873	1095	1279	1149	544	720	715	1553	1097	1000	1001	1145	1550	1224
"evm.TU.scaffold_1.1017"	661	687	664	682	1094	500	539	516	643	720	398	373	448	462	509
"evm.TU.scaffold_1.1018"	242	384	248	219	87	233	384	832	447	306	194	122	325	430	515
"evm.TU.scaffold_1.1019"	391	379	333	305	184	299	392	329	342	179	198	235	88	231	342
"evm.TU.scaffold_1.1020"	142	186	202	231	554	193	146	147	248	236	196	203	242	202	130
"evm.TU.scaffold_1.1021"	61	64	95	137	353	76	66	87	91	66	42	95	34	52	33
"evm.TU.scaffold_1.1022"	942	1611	1673	1498	3595	1853	1890	1712	806	742	727	1040	971	614	629
"evm.TU.scaffold_1.1023"	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1024"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1025"	0	20	9	10	10	4	3	12	12	0	1	2	0	0	10
"evm.TU.scaffold_1.1026"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1027"	1363	1335	1893	1964	1897	936	1039	1154	2416	2419	1863	2462	2196	1817	1324
"evm.TU.scaffold_1.1028"	1	0	3	0	0	0	0	0	0	0	0	7	0	0	0
"evm.TU.scaffold_1.1030"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1031"	1	6	13	7	30	10	4	4	5	8	11	0	1	3	6
"evm.TU.scaffold_1.1032"	408	247	364	543	794	263	217	402	673	1138	674	520	1154	739	333
"evm.TU.scaffold_1.1034"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1035"	523	394	331	69	199	174	135	243	511	131	2	419	190	188	539
"evm.TU.scaffold_1.1037"	5	2	11	0	7	1	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1038"	173	241	214	74	81	169	91	159	348	135	27	77	351	156	588
"evm.TU.scaffold_1.1040"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1041"	161	139	196	233	185	127	120	203	217	285	230	369	233	441	182
"evm.TU.scaffold_1.1042"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.1043_evm.TU.scaffold_1.1044"	0	1	8	0	0	5	4	0	0	0	1	0	0	1	0
"evm.TU.scaffold_1.1045"	3390	3437	4284	5087	4375	2902	3522	2617	3286	3321	3174	4055	2635	2574	1950
