"wt.1.NC13.opaKD1.23003FL.06.01.10"	"ac.1.NC13.opaKD1.23003FL.06.01.11"	"dsred.2.NC13.opaKD1.23003FL.06.01.13"	"opa.2.NC13.opaKD1.23003FL.06.01.15"	"opa.3.NC13.opaKD1.23003FL.06.01.16"	"opa.4.NC13.opaKD1.23003FL.06.01.17"	"wt.2.NC13.opaKD3.23003FL.06.01.22"	"ac.2.NC13.opaKD3.23003FL.06.01.23"	"dsred.3.NC13.opaKD3.23003FL.06.01.24"	"dsred.4.NC13.opaKD3.23003FL.06.01.25"	"opa.5.NC13.opaKD3.23003FL.06.01.26"	"wt.3.NC13.opaKD4.23003FL.06.01.27"	"ac.3.NC13.opaKD4.23003FL.06.01.28"	"ac.4.NC13.opaKD4.23003FL.06.01.29"	"opa.6.NC13.opaKD4.23003FL.06.01.31"	"opa.7.NC13.opaKD4.23003FL.06.01.32"	"opa.8.NC13.opaKD4.23003FL.06.01.33"	"opa.9.NC13.opaKD4.23003FL.06.01.34"
"scaffold_1:39064-39403"	40	64	37	35	67	35	110	63	50	69	38	91	65	49	67	116	59	105
"scaffold_1:41080-41159"	3	6	3	7	10	3	10	10	7	12	4	4	11	7	12	11	10	10
"scaffold_1:46323-46446"	8	11	4	5	10	12	5	18	14	4	6	17	25	29	21	27	7	20
"scaffold_1:113573-113903"	125	161	125	131	221	145	279	204	248	270	145	254	315	238	208	315	211	316
"scaffold_1:114565-114639"	25	27	22	13	34	12	8	18	23	14	9	14	27	26	32	32	17	29
"scaffold_1:116022-116187"	71	101	77	77	116	104	155	95	163	166	83	162	180	166	149	211	160	206
"scaffold_1:126620-126698"	29	26	16	18	30	21	19	33	19	23	9	35	44	35	29	33	31	34
"scaffold_1:128078-128169"	28	34	45	49	56	51	51	51	46	41	30	33	65	39	41	34	72	83
"scaffold_1:128351-128439"	21	26	47	30	41	30	110	40	57	64	22	76	61	36	42	64	51	58
"scaffold_1:129947-130191"	27	37	31	51	40	35	32	34	31	27	20	66	83	43	40	40	50	60
"scaffold_1:139863-140049"	41	58	40	39	80	50	57	66	50	81	21	64	131	96	76	64	83	124
"scaffold_1:153939-154083"	22	15	12	17	18	24	12	33	24	21	16	19	47	39	35	59	31	68
"scaffold_1:155068-155278"	58	103	72	62	72	67	15	58	49	51	32	97	248	173	160	188	173	232
"scaffold_1:159923-160115"	73	95	77	59	119	67	118	113	158	117	63	99	162	128	109	136	114	189
"scaffold_1:167960-168177"	68	102	85	65	110	94	132	95	109	157	56	148	152	117	125	175	130	139
"scaffold_1:176987-177106"	31	60	49	30	45	37	64	40	63	75	33	66	44	52	69	74	56	69
"scaffold_1:186597-186832"	143	222	210	175	248	189	301	223	236	340	120	240	334	317	263	355	246	371
"scaffold_1:189165-189299"	69	87	76	61	68	71	26	88	56	58	15	123	148	104	77	87	77	135
"scaffold_1:189573-189709"	54	47	57	43	62	44	18	57	46	49	31	53	114	80	45	82	73	82
"scaffold_1:189867-189969"	49	62	53	39	47	49	50	74	73	59	22	50	111	94	59	81	70	85
