"wt.1.NC13.opaKD1.23003FL.09.01.25"	"ac.1.NC13.opaKD1.23003FL.09.01.26"	"dsred.2.NC13.opaKD1.23003FL.09.01.27"	"opa.2.NC13.opaKD1.23003FL.09.01.28"	"opa.3.NC13.opaKD1.23003FL.09.01.29"	"opa.4.NC13.opaKD1.23003FL.09.01.30"	"wt.2.NC13.opaKD3.23003FL.09.02.05"	"ac.2.NC13.opaKD3.23003FL.09.02.06"	"dsred.3.NC13.opaKD3.23003FL.09.02.07"	"dsred.4.NC13.opaKD3.23003FL.09.02.08"	"opa.5.NC13.opaKD3.23003FL.09.02.09"	"wt.3.NC13.opaKD4.23003FL.09.02.13"	"ac.3.NC13.opaKD4.23003FL.09.02.14"	"ac.4.NC13.opaKD4.23003FL.09.02.15"	"opa.6.NC13.opaKD4.23003FL.09.02.16"	"opa.7.NC13.opaKD4.23003FL.09.02.17"	"opa.8.NC13.opaKD4.23003FL.09.02.18"	"opa.9.NC13.opaKD4.23003FL.09.02.19"
"evm.TU.scaffold_1.10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"evm.TU.scaffold_1.100"	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0
"evm.TU.scaffold_1.1000"	1185	1761	987	1891	1040	1125	806	904	825	645	746	899	1607	1273	893	1147	1194	1952
"evm.TU.scaffold_1.1001"	220	244	183	381	330	201	336	175	412	303	380	444	117	92	208	61	282	157
"evm.TU.scaffold_1.1002"	268	402	180	409	286	271	304	259	263	382	248	340	291	268	299	269	190	212
"evm.TU.scaffold_1.1003"	9754	12284	6024	12511	6074	9771	11076	10877	11291	7403	8346	8955	16424	17476	8227	5784	5046	5809
"evm.TU.scaffold_1.1004"	139	212	175	153	158	127	384	170	227	194	157	304	134	190	73	33	18	36
"evm.TU.scaffold_1.1005"	808	869	567	1085	785	802	387	625	544	581	639	582	1242	1046	1010	1298	1260	1639
"evm.TU.scaffold_1.1006"	182	158	114	300	242	181	98	186	125	201	267	156	207	241	324	270	331	375
"evm.TU.scaffold_1.1007"	393	446	542	739	586	438	207	176	253	148	219	297	241	106	157	81	82	108
"evm.TU.scaffold_1.1008"	314	386	352	606	288	281	156	179	209	145	142	146	584	303	141	235	151	163
"evm.TU.scaffold_1.1009"	256	197	220	456	215	275	142	281	160	169	277	146	814	649	361	249	294	238
"evm.TU.scaffold_1.1010"	38	33	8	18	6	3	3	24	17	10	34	3	17	36	15	30	1	26
"evm.TU.scaffold_1.1011"	544	141	61	227	120	112	280	95	103	122	369	133	71	78	165	138	128	107
"evm.TU.scaffold_1.1012"	1	0	0	1	0	1	2	1	1	0	3	2	0	0	0	0	0	0
"evm.TU.scaffold_1.1013_evm.TU.scaffold_1.1014"	6174	5655	3885	6182	6153	6444	4705	5447	5338	6366	6953	4797	6599	5936	7420	5876	6102	6261
"evm.TU.scaffold_1.1015"	151	119	111	145	112	181	199	152	220	172	174	175	220	170	192	310	176	296
