peak.name,baseMean.de,padj.nc12.v.nc11,lfc.nc12.v.nc11,padj.nc13.v.nc12,lfc.nc13.v.nc12,padj.nc14.v.nc13,lfc.nc14.v.nc13,padj.lnc14.v.nc14,lfc.lnc14.v.nc14,intergenic,promoter,intron,exon,genomic.feature,open.at.NC11,open.at.NC12,open.at.NC13,open.at.NC14,open.at.LNC14,class
scaffold_1:10000463-10000657,57.03283696,0.3414,-0.5759,0.484,-0.3257,0.778,-0.09911,0.6308,0.3438,FALSE,FALSE,FALSE,TRUE,exon,TRUE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:10060972-10061057,17.13333043,0.6373,-0.6171,0.07232,1.185,0.1697,0.5848,0.3093,-0.8154,FALSE,FALSE,FALSE,TRUE,exon,FALSE,FALSE,FALSE,TRUE,FALSE,not dynamic not in group
scaffold_1:10061819-10061927,31.54704199,0.6824,-0.4363,0.7209,0.2629,0.001937,-1.189,0.8746,0.2444,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,TRUE,FALSE,FALSE,group.3
scaffold_1:10063872-10063984,29.5760859,0.8514,0.2815,0.7314,0.3297,0.1129,-0.8325,0.8969,0.2574,TRUE,FALSE,FALSE,FALSE,intergenic,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
scaffold_1:10064176-10064346,59.19169324,0.4105,0.8028,0.9139,0.1068,0.003012,-1.239,0.8669,0.2692,FALSE,TRUE,FALSE,FALSE,promoter,TRUE,TRUE,TRUE,TRUE,TRUE,group.3
scaffold_1:10064610-10065033,120.5318024,0.249,0.5132,0.09415,0.4701,2.92E-05,-0.8,0.8656,-0.1272,FALSE,FALSE,FALSE,TRUE,exon,TRUE,TRUE,TRUE,TRUE,TRUE,not dynamic not in group
scaffold_1:10065195-10065325,48.49047006,0.8805,0.1329,0.5455,0.2867,0.1813,-0.3807,0.9966,-0.005097,FALSE,FALSE,TRUE,FALSE,intron,FALSE,FALSE,FALSE,TRUE,TRUE,not dynamic not in group
scaffold_1:10082039-10082174,22.15185917,0.0999,1.21,0.7598,0.2078,0.001078,-1.11,0.8272,-0.2653,FALSE,TRUE,FALSE,TRUE,promoter,FALSE,FALSE,FALSE,FALSE,FALSE,group.1
scaffold_1:10093788-10093921,43.94443119,0.8073,0.242,0.5138,0.3724,0.5827,0.2078,0.7727,0.2802,FALSE,TRUE,FALSE,TRUE,promoter,FALSE,FALSE,FALSE,TRUE,TRUE,not dynamic not in group
scaffold_1:10094257-10094372,26.26872515,0.9821,0.03011,0.914,0.09356,0.4757,0.2857,0.9887,0.02319,FALSE,FALSE,TRUE,TRUE,exon and intron,FALSE,FALSE,FALSE,FALSE,FALSE,not dynamic not in group
